epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
51,300.692,302.07,300.2002,301.1002,301.2287,304.0747,299.6431,299.7806,300.5956,301.7043,300.2102,300.7029,301.7072,299.7029,301.7866,300.1098,300.1986,299.5818,299.8156,298.6091,300.1182,299.7955,299.7074,299.6197,305.038,300.7637,301.0854,300.864,300.6442,300.4337,300.5592,299.9998
52,306.5559,308.0709,306.0419,306.9458,307.2163,309.8983,305.5854,305.6162,306.4343,307.5525,306.1763,306.6899,307.7089,305.6345,307.7191,305.9052,305.9647,305.4614,305.7499,304.3665,306.0108,305.7341,305.4842,305.4516,310.8808,306.5481,306.8999,306.6626,306.4311,306.2465,306.3533,305.7915
53,312.4695,313.9089,312.052,312.8913,313.0772,315.9884,311.3621,311.5941,312.3517,313.5084,311.936,312.5062,313.5667,311.5422,313.6231,311.9246,311.8659,311.2458,311.5622,310.3523,311.8031,311.5155,311.4977,311.2543,316.711,312.5022,312.9074,312.6938,312.4633,312.232,312.3421,311.7745
54,318.3534,319.871,317.849,318.7904,319.1435,321.8233,317.4269,317.384,318.262,319.5007,317.9362,318.5197,319.5599,317.3512,319.4261,317.7074,317.7551,317.232,317.3783,316.1159,317.8043,317.408,317.3019,317.1942,322.6639,318.3802,318.6996,318.4827,318.2716,318.0167,318.138,317.5604
55,324.2553,325.7174,323.8661,324.6434,324.9394,327.8463,323.2683,323.4166,324.0668,325.3184,323.7175,324.3216,325.4867,323.2822,325.4496,323.6517,323.5715,322.9891,323.3214,322.0357,323.6409,323.3498,323.3345,322.9669,328.445,324.2199,324.6542,324.4577,324.2569,324.0034,324.1063,323.5688
56,330.1524,331.5675,329.7007,330.6201,330.9445,333.6943,329.2737,329.2754,330.0221,331.337,329.6833,330.2872,331.3786,329.0867,331.2873,329.487,329.5348,328.9959,329.1333,327.876,329.601,329.1076,329.1685,328.9112,334.4629,330.2113,330.5281,330.3695,330.1005,329.815,329.9084,329.3565
57,336.0373,337.5258,335.7073,336.4336,336.8129,339.6853,335.1531,335.2812,335.7951,337.1946,335.4742,336.146,337.366,335.0623,337.2943,335.3266,335.3504,334.7503,335.0789,333.6598,335.3702,335.1011,335.111,334.6671,340.2819,336.0059,336.3715,336.2348,335.9526,335.7586,335.8972,335.3075
58,341.9365,343.3116,341.4917,342.4116,342.8064,345.5859,341.0764,341.0847,341.805,343.187,341.3792,341.996,343.1906,340.8327,343.067,341.262,341.3955,340.6447,340.8378,339.5803,341.2986,340.9129,341.0493,340.6015,346.2986,341.9985,342.3247,342.1711,341.8816,341.6471,341.7634,341.1373
59,347.8054,349.2855,347.4032,348.1993,348.7115,351.5092,347.1673,346.9118,347.6114,348.9972,347.2929,347.9556,349.2272,346.8175,348.9945,347.0397,347.1828,346.4803,346.8364,345.3228,347.1358,346.911,346.8666,346.3679,352.0927,347.792,348.091,347.9562,347.68,347.4713,347.6629,346.9945
60,353.7132,355.0807,353.3341,354.1858,354.6089,357.5052,353.0917,352.8238,353.5414,354.9539,353.0844,353.733,355.0712,352.5791,354.8523,353.0247,353.1578,352.3003,352.5933,351.2815,352.9456,352.6945,352.9067,352.2493,358.02,353.7662,354.055,353.945,353.6862,353.4986,353.6064,352.9313
61,359.592,361.0871,359.2037,359.9788,360.5827,363.3282,359.1271,358.586,359.4171,360.8421,359.0457,359.749,361.1208,358.46,360.6782,358.8382,359.0245,358.2689,358.4534,357.0436,358.9173,358.613,358.7054,358.1378,363.9688,359.6234,359.832,359.7365,359.5004,359.3168,359.4272,358.7374
62,365.4944,366.852,365.2332,365.8782,366.405,369.3682,364.946,364.5614,365.259,366.7106,364.8188,365.5311,366.9667,364.3346,366.6442,364.8503,364.9078,364.0598,364.3226,363.0194,364.6721,364.4958,364.7121,363.9234,369.7984,365.5175,365.8202,365.7177,365.4839,365.3194,365.4803,364.7165
63,371.3768,372.7448,371.0313,371.7871,372.4144,375.2344,370.9409,370.3292,371.1977,372.6981,370.8282,371.5207,372.9256,370.1166,372.4692,370.6612,370.8697,370.0376,370.1028,368.8028,370.6524,370.2814,370.4939,369.9237,375.8623,371.4285,371.6545,371.5411,371.246,371.1231,371.2423,370.5181
64,377.2684,378.6488,377.0425,377.5722,378.2046,381.3027,376.7256,376.3061,377.0122,378.5232,376.5927,377.2996,378.8402,376.0747,378.4972,376.5765,376.6909,375.8072,376.0651,374.6635,376.4338,376.2794,376.4482,375.6694,381.7173,377.2437,377.5301,377.4516,377.1557,377.164,377.2584,376.5225
65,383.162,384.4642,382.8524,383.5944,384.23,387.1381,382.6204,382.0771,383.031,384.5629,382.5484,383.1846,384.6945,381.8578,384.2619,382.4855,382.6966,381.7466,381.8609,380.5671,382.3852,382.0757,382.3268,381.6433,387.77,383.2463,383.4242,383.3409,383.0103,382.924,383.0766,382.3246
