epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
54,323.4228,326.2662,325.92,323.427,326.7919,326.6322,326.9509,325.5155,326.2295,328.1509,329.1395,327.2553,327.1848,325.8646,328.1837,328.3926,327.8799,328.7401,328.8452,319.5461,315.5023,315.4452,314.9753,315.6751,315.531,315.2902,315.4015,315.3238,316.4911,315.4554,335.0655,329.0333
55,329.4003,332.1932,332.036,329.4046,332.8363,332.5379,332.9072,332.0155,332.3092,334.1622,335.1307,333.3751,333.3187,331.8169,334.2437,334.5557,333.8603,334.9031,334.8198,325.3251,321.4352,321.1874,320.9433,321.4126,321.4663,321.0387,321.3123,321.067,322.4205,321.1926,341.1178,335.0644
56,335.3999,338.3113,337.9636,335.4373,338.8519,338.6915,339.0493,337.9462,338.365,340.2078,341.3419,339.4045,339.3089,337.894,340.4406,340.5392,340.0607,340.8707,341.0159,331.3274,327.1972,327.1093,326.694,327.3701,327.2044,326.9387,327.1226,326.9264,328.2106,327.0769,347.2968,341.2228
57,341.3654,344.2375,344.0251,341.4476,344.8792,344.5995,345.0219,344.0475,344.5043,346.2769,347.3271,345.4392,345.4489,343.9052,346.4545,346.6964,346.0188,347.0559,347.0068,337.0765,333.1457,332.8507,332.6687,333.1305,333.1521,332.745,332.9384,332.7678,334.0325,332.9084,353.3089,347.2099
58,347.352,350.3046,350.0215,347.3802,350.9455,350.6902,351.1058,349.9844,350.512,352.2639,353.5607,351.5109,351.4511,349.9449,352.66,352.6798,352.1397,353.0332,353.1495,342.9547,338.8909,338.7661,338.4127,339.074,338.9514,338.5711,338.8398,338.5964,339.9106,338.6685,359.546,353.3916
59,353.3306,356.3087,356.0191,353.5587,356.8757,356.6094,357.1252,356.0167,356.6851,358.4277,359.5341,357.4717,357.6275,356.0367,358.6713,358.8549,358.1124,359.1869,359.1807,348.8361,344.7958,344.5327,344.3186,344.8619,344.7924,344.5135,344.5916,344.53,345.6518,344.6071,365.5385,359.3749
60,359.3009,362.2881,362.0934,359.4651,363.0045,362.6942,363.0465,362.0291,362.644,364.4043,365.6685,363.6462,363.5918,361.969,364.865,364.8706,364.1732,365.1942,365.2278,354.5919,350.6971,350.3595,350.1157,350.7034,350.6904,350.251,350.5351,350.2692,351.596,350.3766,371.7438,365.5239
61,365.2864,368.3295,368.0553,365.567,368.9792,368.6002,369.1473,367.9876,368.8144,370.5729,371.7349,369.6248,369.7555,368.0917,370.8799,371.026,370.2627,371.3157,371.3308,360.5785,356.4718,356.2511,355.9102,356.5827,356.4471,356.1703,356.2719,356.211,357.3344,356.3209,377.7332,371.5214
62,371.2591,374.2561,374.1579,371.5377,375.1108,374.6548,375.0811,374.0732,374.7885,376.5314,377.7987,375.8342,375.7277,374.038,377.0592,377.0586,376.2491,377.404,377.3204,366.3206,362.4297,361.9954,361.817,362.3417,362.4258,361.9564,362.2368,361.9695,363.2594,362.0672,383.8765,377.6562
63,377.2485,380.3656,380.0744,377.6513,381.0399,380.686,381.1723,379.981,380.9738,382.6783,383.9433,381.8251,381.8309,380.1941,383.0717,383.1395,382.3731,383.4455,383.5328,372.2896,368.1886,367.9359,367.5708,368.284,368.15,367.9084,367.9718,367.8835,368.9949,367.9744,389.8881,383.6861
64,383.2155,386.3101,386.1785,383.5853,387.2209,386.6384,387.1152,386.0721,386.9579,388.6374,389.9502,387.9966,387.9103,386.1485,389.1485,389.253,388.3384,389.5964,389.536,378.0603,374.1104,373.6752,373.5266,374.0695,374.1441,373.6543,373.8172,373.6879,374.8269,373.8059,395.9496,389.7591
65,389.1973,392.4477,392.0816,389.6518,393.183,392.7265,393.219,391.972,393.0475,394.735,396.1635,393.9902,393.8861,392.3054,395.2281,395.3047,394.5284,395.5707,395.7197,383.984,379.8535,379.5939,379.2739,380.0029,379.8782,379.4976,379.656,379.4755,380.6752,379.5957,402.0319,395.8385
66,395.1656,398.3502,398.2882,395.6376,399.2629,398.6262,399.1423,398.0602,399.0739,400.75,402.2163,400.0937,400.0615,398.2583,401.2082,401.485,400.5229,401.7575,401.7233,389.7906,385.7742,385.3419,385.2079,385.7726,385.7505,385.3719,385.4036,385.4022,386.4265,385.5072,408.0225,401.8434
